::1 - - [05/Jun/2021:20:32:20 +0000] "GET /users/ HTTP/1.1" 304 -
2021-06-05T22:09:02.374Z GET /boards/4b4bcab0-49f2-431b-9f29-c02f20ad8788/tasks/47ad7349-1b19-4b52-bd8c-08f2f3b9598f - 200 - 1.854 ms
2021-06-05T22:09:02.394Z GET /boards/4b4bcab0-49f2-431b-9f29-c02f20ad8788/tasks/93bbef7e-973b-473b-9188-b4aa8cedf9b8 - 200 - 1.845 ms
2021-06-05T22:09:02.402Z GET /boards/4b4bcab0-49f2-431b-9f29-c02f20ad8788/tasks/d5fefef8-bc2b-4c45-8b20-4c4ddfdb1d8f - 200 - 1.378 ms
2021-06-05T22:09:02.438Z DELETE /boards/4b4bcab0-49f2-431b-9f29-c02f20ad8788 - 204 - 2.416 ms
2021-06-05T22:09:02.455Z GET /boards/4b4bcab0-49f2-431b-9f29-c02f20ad8788/tasks/e3f18702-12a1-4ffa-ae35-562869815d88 - 404 - 1.690 ms
2021-06-05T22:09:02.460Z GET /boards/4b4bcab0-49f2-431b-9f29-c02f20ad8788/tasks/e4c96d2f-bb3f-442d-b7c8-c8b9f980e349 - 404 - 1.139 ms
2021-06-05T22:09:02.470Z GET /boards/4b4bcab0-49f2-431b-9f29-c02f20ad8788/tasks/47ad7349-1b19-4b52-bd8c-08f2f3b9598f - 404 - 1.323 ms
2021-06-05T22:09:02.478Z GET /boards/4b4bcab0-49f2-431b-9f29-c02f20ad8788/tasks/93bbef7e-973b-473b-9188-b4aa8cedf9b8 - 404 - 1.432 ms
2021-06-05T22:09:02.489Z GET /boards/4b4bcab0-49f2-431b-9f29-c02f20ad8788/tasks/d5fefef8-bc2b-4c45-8b20-4c4ddfdb1d8f - 404 - 2.515 ms
2021-06-05T22:09:02.505Z DELETE /boards/cd4f92a5-c839-482d-81e9-f9a857d3bb47 - 204 - 1.731 ms
2021-06-05T22:09:04.268Z POST /boards - 201 - 0.604 ms
2021-06-05T22:09:04.292Z POST /boards/452dce98-25d4-4523-83af-4dfd175d230e/tasks - 201 - 1.325 ms
2021-06-05T22:09:04.313Z GET /boards/452dce98-25d4-4523-83af-4dfd175d230e/tasks - 200 - 6.769 ms
2021-06-05T22:09:04.466Z GET /boards/452dce98-25d4-4523-83af-4dfd175d230e/tasks - 200 - 1.805 ms
